Code,Movie,Audience,Open,Screen,watchGradeNm,genres
20192193,도굴,565469,2020-11-04,1634,12세이상관람가,범죄
20197121,삼진그룹 영어토익반,1257444,2020-10-21,1080,12세이상관람가,드라마
20199816,담보,1702252,2020-09-29,407,12세이상관람가,드라마
20208508,미스터트롯: 더 무비,140594,2020-10-22,159,전체관람가,공연
20194424,소리도 없이,401759,2020-10-15,126,15세이상관람가,범죄
20209304,다만 악에서 구하소서 파이널컷,34205,2020-10-28,78,청소년관람불가,액션
20178401,검객,188990,2020-09-23,23,15세이상관람가,액션
20206588,극장판 미니특공대: 햄버거괴물의 습격,55468,2020-09-30,38,전체관람가,애니메이션
20081003,박쥐,2208279,2009-04-30,1,청소년관람불가,공포(호러)
20206826,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",100725,2020-09-29,53,전체관람가,공연
20193666,오! 문희,350993,2020-09-02,20,12세이상관람가,코미디
20204684,브레이크 더 사일런스: 더 무비,131693,2020-09-24,66,전체관람가,다큐멘터리
20190601,디바,107480,2020-09-23,6,15세이상관람가,스릴러
20196750,웰컴 투 X-월드,710,2020-10-29,2,전체관람가,다큐멘터리
20184482,국제수사,534629,2020-09-29,11,15세이상관람가,코미디
20190621,죽지않는 인간들의 밤,101663,2020-09-29,7,15세이상관람가,코미디
20206291,피원에이치 : 새로운 세계의 시작 ,1912,2020-10-08,21,15세이상관람가,드라마
20208045,강철비2 : 정상회담 확장판,17918,2020-09-30,48,15세이상관람가,드라마
20196271,강철비2: 정상회담,1789780,2020-07-29,9,15세이상관람가,드라마
20204643,다시 만난 날들,2143,2020-09-24,105,12세이상관람가,뮤지컬
20197922,다만 악에서 구하소서,4354336,2020-08-05,37,15세이상관람가,범죄
20193450,반도,3811810,2020-07-15,6,15세이상관람가,액션
20205284,매지컬: 공주를 웃겨라,3901,2020-09-17,22,전체관람가,애니메이션
20183813,결백,894025,2020-06-10,14,15세이상관람가,드라마
20199883,오케이 마담,1228551,2020-08-12,23,15세이상관람가,코미디
20206679,공포체험라디오 4DX,1468,2020-09-16,36,15세이상관람가,공포(호러)
20050333,왕의 남자,10514167,2005-12-29,1,15세이상관람가,드라마
20158482,동주,1176644,2016-02-17,1,12세이상관람가,드라마
20148846,사도,6247739,2015-09-16,1,12세이상관람가,사극
20178982,박열,2359775,2017-06-28,1,12세이상관람가,드라마
20193069,#살아있다,1903703,2020-06-24,8,15세이상관람가,드라마
20193275,브링 더 소울 : 더 무비,337593,2019-08-07,33,전체관람가,기타
20201785,태백권,1476,2020-08-20,60,15세이상관람가,코미디
20201841,부활,14356,2020-07-09,10,전체관람가,다큐멘터리
20196201,소리꾼,80984,2020-07-01,4,12세이상관람가,사극
20200002,프리즈너,1621,2020-07-23,2,15세이상관람가,액션
20090557,호우시절,288419,2009-10-08,5,15세이상관람가,멜로/로맨스
20193859,사라진 시간,185783,2020-06-18,1,15세이상관람가,미스터리
20200846,부산행:익스텐디드,4098,2020-07-01,2,15세이상관람가,액션
20197863,침입자,531969,2020-06-04,20,15세이상관람가,미스터리
20170841,리틀 포레스트,1508063,2018-02-28,27,전체관람가,드라마
20070282,가리베가스,25, ,1,18세관람가,드라마
20209021,런 보이 런,2886,2020-05-28,2,15세이상관람가,드라마
20198890,아이즈 온 미 : 더 무비,37743,2020-06-10,100,전체관람가,공연
20209430,열혈형사,2088,2020-06-18,121,12세이상관람가,코미디
20207722,저 산 너머,103412,2020-04-30,6,12세이상관람가,드라마
20010020,엽기적인 그녀,57,2001-07-26,1,15세관람가,코미디
20193836,핑크퐁 시네마 콘서트 : 우주대탐험,17597,2020-01-30,1,전체관람가,애니메이션
19970014,접속,1854,1997-09-13,1,고등학생이상관람가,멜로/로맨스
20185881,증인,2534853,2019-02-13,1,12세이상관람가,드라마
20129370,명량,17615685,2014-07-30,1,15세이상관람가,사극
20183782,기생충,10313062,2019-05-30,4,15세이상관람가,드라마
20180962,지푸라기라도 잡고 싶은 짐승들,627247,2020-02-19,6,청소년관람불가,스릴러
20193321,정직한 후보,1536652,2020-02-12,3,12세이상관람가,코미디
20126674,설국열차,9353332,2013-08-01,26,15세이상관람가,SF
20124401,신세계,4688978,2013-02-21,20,청소년관람불가,범죄
20030046,살인의 추억,12834,2003-04-25,24,15세관람가,스릴러
20127593,7번방의 선물,12812039,2013-01-23,34,15세이상관람가,코미디
20120426,고령화 가족,1141444,2013-05-09,16,15세이상관람가,드라마
20208595,얼굴없는 보스: 못다한 이야기 감독판,1472,2020-05-13,6,15세이상관람가,범죄
20182530,극한직업,16266337,2019-01-23,1,15세이상관람가,코미디
20000011,동감,5503,2000-05-27,3,12세관람가,멜로/로맨스
20208988,아르코라이브 의자 고치는 여인,84,2020-05-20,6,12세이상관람가,공연
20188421,미스터 주: 사라진 VIP,604143,2020-01-22,3,12세이상관람가,코미디
20198323,레드슈즈,820740,2019-07-25,21,전체관람가,애니메이션
20198183,뽀로로 극장판 보물섬 대모험,767737,2019-04-25,4,전체관람가,애니메이션
20186501,극장판 헬로카봇 : 백악기 시대,880776,2018-08-01,4,전체관람가,애니메이션
20208597,아르코라이브 무용 히트 앤 런,38,2020-05-06,4,전체관람가,공연
20193821,극장판 헬로카봇 : 달나라를 구해줘!,590708,2019-09-04,22,전체관람가,애니메이션
20206305,아르코라이브 뮤지컬 안테모사,908,2020-03-25,13,전체관람가,공연
20164844,불한당: 나쁜 놈들의 세상,963239,2017-05-17,1,청소년관람불가,범죄
